"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Tovar, Ezequiel","678662","2024","251",29.9,4,".358",".285",36.6,7.9,40.2,"99.006955309","93.805088447",35.4,62
"Díaz, Yandy","650490","2024","253",13.8,9.5,".302",".319",27.1,4.7,50.5,"103.190364688","96.211256927",11,43.4
"Semien, Marcus","543760","2024","261",14.9,6.9,".322",".330",37.3,7.4,33.3,"97.521174608","92.846164926",21,50.8
"Montero, Elehuris","660707","2024","185",20,8.6,".267",".284",27.3,5.3,42.4,"100.802735606","94.624486212",27.9,54
"Marte, Ketel","606466","2024","256",19.5,7.4,".335",".366",35.7,10.8,54.1,"103.446982717","96.610108152",23,51.5
"Jeffers, Ryan","680777","2024","204",24,7.4,".375",".345",34.6,13.1,33.8,"99.721658769","93.898049769",25.8,44.8
"Taveras, Leody","665750","2024","208",17.8,9.1,".308",".326",36.2,5.3,40.8,"100.130110667","94.240945133",23.5,47.4
"Seager, Corey","608369","2024","235",17.4,12.3,".361",".398",37.2,16.5,48.2,"102.915159268","95.711123415",22.8,52.5
"Santana, Carlos","467793","2024","205",17.1,9.8,".297",".317",30.6,8.2,40.8,"99.430872973","94.047778707",24.9,42.9
"Suárez, Eugenio","553993","2024","227",28.2,6.2,".261",".270",37.5,6.3,33.3,"98.495581389","93.296759097",30.2,46.4
"Marsh, Brandon","669016","2024","182",28.6,11,".338",".357",44.5,8.2,52.7,"101.618284182","95.555798818",23.3,39.2
"Abreu, Wilyer","677800","2024","185",26.5,10.3,".361",".313",27.4,11.1,46.2,"100.695864483","94.582344138",31,48.6
"Perez, Salvador","521692","2024","235",15.7,6.8,".387",".399",39.8,14.8,47.7,"102.447141591","95.729445057",24.6,59.9
"Campusano, Luis","669134","2024","183",12.6,7.1,".286",".292",26.5,4.1,33.3,"97.991926164","93.04095863",19.2,52.5
"Tucker, Kyle","663656","2024","257",16,17.5,".417",".414",39.4,14.1,44.7,"100.326726588","94.786921941",19.4,40.6
"Betts, Mookie","605141","2024","272",9.6,13.6,".403",".386",42.6,5.7,41.1,"99.076576286","93.919183397",13.6,37.6
"Turang, Brice","668930","2024","209",16.7,9.1,".345",".310",33.1,3.2,31.8,"97.225652877","92.808649103",14,45.6
"Bell, Josh","605137","2024","250",19.6,8,".307",".308",26.9,6.3,40.6,"100.074793563","94.15734023",28.6,48.6
"Nimmo, Brandon","607043","2024","240",24.6,13.8,".326",".386",40,12.1,48.6,"101.863872571","95.448206643",25.7,41.9
"Rocchio, Brayan","677587","2024","183",18.6,12.6,".266",".294",38.7,2.4,22.8,"95.673074833","91.975171917",23.4,48.4
"De La Cruz, Bryan","650559","2024","251",25.5,7.6,".313",".338",32.3,9.6,40.7,"99.932031928","94.087781807",31.4,51.9
"Mountcastle, Ryan","663624","2024","213",21.6,6.1,".362",".361",35.1,10.4,48.1,"102.485215844","95.699696993",22.4,53.7
"McCutchen, Andrew","457705","2024","204",25,11.3,".330",".367",37.3,15.9,44.4,"100.591243333","94.525827222",30.1,42.6
"Peña, Jeremy","665161","2024","239",16.3,3.3,".331",".319",32.4,3.7,40.4,"99.908629891","94.07253125",23.2,53.8
"Altuve, Jose","514888","2024","260",17.7,6.5,".350",".319",37.1,7.7,33,"97.352977579","92.701786737",18.9,50.7
"Schneider, Davis","676914","2024","185",26.5,12.4,".352",".334",36.7,14.7,39.4,"99.811549091","94.224343028",28.8,40.1
"Ward, Taylor","621493","2024","243",23,9.5,".344",".382",44.5,14.6,44.5,"100.631709024","94.790821534",22.7,43.8
"Chisholm Jr., Jazz","665862","2024","245",24.1,8.6,".333",".328",32.5,12.9,41.7,"100.62101325","94.807263459",27.8,46.9
"Winker, Jesse","608385","2024","218",23.9,12.4,".330",".326",28.6,7.5,37.6,"99.242048485","93.861103409",23.2,42.2
"Arenado, Nolan","571448","2024","230",16.5,6.5,".299",".296",36.6,2.9,30.3,"96.806854545","92.428924114",21.5,44.8
"Bleday, JJ","668709","2024","237",19,10.5,".344",".329",37.1,8.4,32.9,"98.887085301","93.485296485",28.3,43.1
"Castro, Willi","650489","2024","220",24.5,8.6,".335",".318",36.4,6.3,39.2,"99.162958714","93.725986143",27.3,48.9
"Happ, Ian","664023","2024","228",27.2,12.3,".316",".324",34.1,11.9,40.7,"101.209267463","94.970180597",27.8,47.6
"Greene, Riley","682985","2024","243",26.7,13.2,".348",".360",37.9,15.2,46.9,"102.409134521","95.627994483",29,41.9
"Stanton, Giancarlo","519317","2024","208",30.8,6.3,".331",".342",33.6,18.3,53.4,"107.448617692","98.668295077",32.3,46.7
